LONGITUDE,LATITUDE,STATION_NAME,CLIMATE_ID,DATE,YEAR,MONTH,DAY,MAX_TEMP,MIN_TEMP,MEAN_TEMP
-116.98,51.3,GOLDEN A,1173214,2019-01-01,2019,1,1,-7.6,-13.1,-10.4
-116.98,51.3,GOLDEN A,1173214,2019-01-02,2019,1,2,-2.2,-7.8,-5
-116.98,51.3,GOLDEN A,1173214,2019-01-03,2019,1,3,2.1,-2.4,-0.2
-116.98,51.3,GOLDEN A,1173214,2019-01-04,2019,1,4,3.6,0.5,2.1
-116.98,51.3,GOLDEN A,1173214,2019-01-05,2019,1,5,3,-4.5,-0.8
-116.98,51.3,GOLDEN A,1173214,2019-01-06,2019,1,6,3.5,-5.5,-1
-116.98,51.3,GOLDEN A,1173214,2019-01-07,2019,1,7,-1.9,-11.8,-6.9
-116.98,51.3,GOLDEN A,1173214,2019-01-08,2019,1,8,,,
-116.98,51.3,GOLDEN A,1173214,2019-01-09,2019,1,9,-6.8,-10.8,-8.8
-116.98,51.3,GOLDEN A,1173214,2019-01-10,2019,1,10,-3,-7.2,-5.1
-116.98,51.3,GOLDEN A,1173214,2019-01-11,2019,1,11,-0.6,-4.2,-2.4
-116.98,51.3,GOLDEN A,1173214,2019-01-12,2019,1,12,0.8,-2.8,-1
-116.98,51.3,GOLDEN A,1173214,2019-01-13,2019,1,13,-0.8,-2.5,-1.7
-116.98,51.3,GOLDEN A,1173214,2019-01-14,2019,1,14,-2.3,-6.3,-4.3
-116.98,51.3,GOLDEN A,1173214,2019-01-15,2019,1,15,-6.3,-9.2,-7.8
-116.98,51.3,GOLDEN A,1173214,2019-01-16,2019,1,16,-8.3,-10.2,-9.3
-116.98,51.3,GOLDEN A,1173214,2019-01-17,2019,1,17,-6.3,-11.1,-8.7
-116.98,51.3,GOLDEN A,1173214,2019-01-18,2019,1,18,-2,-8.9,-5.5
-116.98,51.3,GOLDEN A,1173214,2019-01-19,2019,1,19,3,-4.4,-0.7
-116.98,51.3,GOLDEN A,1173214,2019-01-20,2019,1,20,-2.1,-5.1,-3.6
-116.98,51.3,GOLDEN A,1173214,2019-01-21,2019,1,21,-2.3,-13.4,-7.9
-116.98,51.3,GOLDEN A,1173214,2019-01-22,2019,1,22,-5.3,-13.8,-9.6
-116.98,51.3,GOLDEN A,1173214,2019-01-23,2019,1,23,-0.2,-8.1,-4.2
-116.98,51.3,GOLDEN A,1173214,2019-01-24,2019,1,24,-2,-10.8,-6.4
-116.98,51.3,GOLDEN A,1173214,2019-01-25,2019,1,25,-0.8,-7.1,-4
-116.98,51.3,GOLDEN A,1173214,2019-01-26,2019,1,26,1.7,-6.9,-2.6
-116.98,51.3,GOLDEN A,1173214,2019-01-27,2019,1,27,5,-5.2,-0.1
-116.98,51.3,GOLDEN A,1173214,2019-01-28,2019,1,28,-4,-14.5,-9.3
-116.98,51.3,GOLDEN A,1173214,2019-01-29,2019,1,29,-8.9,-19.6,-14.3
-116.98,51.3,GOLDEN A,1173214,2019-01-30,2019,1,30,-6.4,-17.4,-11.9
-116.98,51.3,GOLDEN A,1173214,2019-01-31,2019,1,31,-3.5,-8.3,-5.9
-116.98,51.3,GOLDEN A,1173214,2019-02-01,2019,2,1,3.2,-5.5,-1.2
-116.98,51.3,GOLDEN A,1173214,2019-02-02,2019,2,2,4.2,-10.9,-3.4
-116.98,51.3,GOLDEN A,1173214,2019-02-03,2019,2,3,-10.8,-18.1,-14.5
-116.98,51.3,GOLDEN A,1173214,2019-02-04,2019,2,4,-14.8,-21.3,-18.1
-116.98,51.3,GOLDEN A,1173214,2019-02-05,2019,2,5,-14.1,-27,-20.6
-116.98,51.3,GOLDEN A,1173214,2019-02-06,2019,2,6,-10.7,-24.3,-17.5
-116.98,51.3,GOLDEN A,1173214,2019-02-07,2019,2,7,-13.2,-24.3,-18.8
-116.98,51.3,GOLDEN A,1173214,2019-02-08,2019,2,8,-9.3,-15.7,-12.5
-116.98,51.3,GOLDEN A,1173214,2019-02-09,2019,2,9,-12.7,-22.7,-17.7
-116.98,51.3,GOLDEN A,1173214,2019-02-10,2019,2,10,-13,-28.5,-20.8
-116.98,51.3,GOLDEN A,1173214,2019-02-11,2019,2,11,-10,-21.3,-15.7
-116.98,51.3,GOLDEN A,1173214,2019-02-12,2019,2,12,-10.7,-19.5,-15.1
-116.98,51.3,GOLDEN A,1173214,2019-02-13,2019,2,13,-6,-18.8,-12.4
-116.98,51.3,GOLDEN A,1173214,2019-02-14,2019,2,14,-8.4,-23.8,-16.1
-116.98,51.3,GOLDEN A,1173214,2019-02-15,2019,2,15,,,
-116.98,51.3,GOLDEN A,1173214,2019-02-16,2019,2,16,-3.5,-7.4,-5.5
-116.98,51.3,GOLDEN A,1173214,2019-02-17,2019,2,17,-3.8,-16.6,-10.2
-116.98,51.3,GOLDEN A,1173214,2019-02-18,2019,2,18,-6.8,-19.1,-13
-116.98,51.3,GOLDEN A,1173214,2019-02-19,2019,2,19,-10.8,-20.9,-15.9
-116.98,51.3,GOLDEN A,1173214,2019-02-20,2019,2,20,-4,-19.6,-11.8
-116.98,51.3,GOLDEN A,1173214,2019-02-21,2019,2,21,-3.6,-19.8,-11.7
-116.98,51.3,GOLDEN A,1173214,2019-02-22,2019,2,22,-4,-17.2,-10.6
-116.98,51.3,GOLDEN A,1173214,2019-02-23,2019,2,23,-2.4,-13,-7.7
-116.98,51.3,GOLDEN A,1173214,2019-02-24,2019,2,24,-4.3,-18.8,-11.6
-116.98,51.3,GOLDEN A,1173214,2019-02-25,2019,2,25,-6.2,-23.3,-14.8
-116.98,51.3,GOLDEN A,1173214,2019-02-26,2019,2,26,-5.2,-24.3,-14.8
-116.98,51.3,GOLDEN A,1173214,2019-02-27,2019,2,27,-5.8,-24.2,-15
-116.98,51.3,GOLDEN A,1173214,2019-02-28,2019,2,28,-2.8,-18.7,-10.8
-116.98,51.3,GOLDEN A,1173214,2019-03-01,2019,3,1,-2.4,-14.7,-8.6
-116.98,51.3,GOLDEN A,1173214,2019-03-02,2019,3,2,-8.1,-21.2,-14.7
-116.98,51.3,GOLDEN A,1173214,2019-03-03,2019,3,3,-7.6,-27.3,-17.5
-116.98,51.3,GOLDEN A,1173214,2019-03-04,2019,3,4,-5.2,-25.6,-15.4
-116.98,51.3,GOLDEN A,1173214,2019-03-05,2019,3,5,-2.9,-23.6,-13.3
-116.98,51.3,GOLDEN A,1173214,2019-03-06,2019,3,6,0.1,-20,-10
-116.98,51.3,GOLDEN A,1173214,2019-03-07,2019,3,7,0.8,-6.9,-3.1
-116.98,51.3,GOLDEN A,1173214,2019-03-08,2019,3,8,1.6,-11.5,-5
-116.98,51.3,GOLDEN A,1173214,2019-03-09,2019,3,9,2.2,-15.7,-6.8
-116.98,51.3,GOLDEN A,1173214,2019-03-10,2019,3,10,2.4,-17.1,-7.4
-116.98,51.3,GOLDEN A,1173214,2019-03-11,2019,3,11,2.9,-11.1,-4.1
-116.98,51.3,GOLDEN A,1173214,2019-03-12,2019,3,12,3.9,-2.7,0.6
-116.98,51.3,GOLDEN A,1173214,2019-03-13,2019,3,13,4.9,-6.3,-0.7
-116.98,51.3,GOLDEN A,1173214,2019-03-14,2019,3,14,4.1,-11.9,-3.9
-116.98,51.3,GOLDEN A,1173214,2019-03-15,2019,3,15,6.8,-4.7,1.1
-116.98,51.3,GOLDEN A,1173214,2019-03-16,2019,3,16,7.5,-2.5,2.5
-116.98,51.3,GOLDEN A,1173214,2019-03-17,2019,3,17,11.7,-5.7,3
-116.98,51.3,GOLDEN A,1173214,2019-03-18,2019,3,18,10.4,-6.2,2.1
-116.98,51.3,GOLDEN A,1173214,2019-03-19,2019,3,19,11.2,-6.1,2.6
-116.98,51.3,GOLDEN A,1173214,2019-03-20,2019,3,20,11.4,-6.7,2.4
-116.98,51.3,GOLDEN A,1173214,2019-03-21,2019,3,21,11.4,-5.7,2.9
